sentence,label,category,difficulty
"Ixodes ricinus ticks parasitize roe deer across European temperate forests.",1,ectoparasitism,easy
"Varroa destructor mites parasitize honeybee colonies, feeding on haemolymph and reproducing in brood cells.",1,ectoparasitism,easy
"The sea louse Lepeophtheirus salmonis attaches to and feeds on the skin and mucus of Atlantic salmon.",1,ectoparasitism,easy
"Sarcoptes scabiei infests red foxes, causing severe sarcoptic mange in wild populations.",1,ectoparasitism,easy
"Pediculus humanus capitis infests the scalp of humans and feeds on blood.",1,ectoparasitism,easy
"Toxoplasma gondii infects rodents and manipulates their behaviour to reduce fear of cats.",1,endoparasitism,easy
"Plasmodium falciparum parasitizes human erythrocytes and is transmitted by Anopheles mosquitoes.",1,endoparasitism,easy
"Trichinella spiralis larvae encyst in the muscle tissue of infected pigs.",1,endoparasitism,easy
"Fasciola hepatica causes liver fluke disease in sheep and cattle.",1,endoparasitism,easy
"Echinococcus granulosus forms hydatid cysts in the liver of intermediate hosts such as sheep.",1,endoparasitism,easy
"Anopheles gambiae transmits Plasmodium falciparum to human hosts during blood feeding.",1,vector-borne,easy
"Aedes albopictus is a competent vector for dengue virus and chikungunya virus in humans.",1,vector-borne,easy
"Culex pipiens transmits West Nile virus to birds and incidentally to humans.",1,vector-borne,easy
"Ixodes scapularis transmits Borrelia burgdorferi to mammals during prolonged blood feeding.",1,vector-borne,easy
"Phlebotomus papatasi sand flies transmit Leishmania major to susceptible mammalian hosts.",1,vector-borne,easy
"Gray wolves prey on elk in Yellowstone National Park, regulating ungulate populations.",1,predation,easy
"Peregrine falcons hunt and consume pigeons in urban environments.",1,predation,easy
"Sea otters prey on sea urchins, controlling their populations and maintaining kelp forests.",1,predation,easy
"African wild dogs cooperatively hunt wildebeest on the Serengeti plains.",1,predation,easy
"Barn owls capture and consume voles and shrews during nocturnal foraging.",1,predation,easy
"Rhizobium bacteria fix atmospheric nitrogen in mutualistic symbiosis with legume root nodules.",1,mutualism,easy
"Mycorrhizal fungi colonize plant roots and exchange soil phosphorus for photosynthetic carbon.",1,mutualism,easy
