sentence,label,category,difficulty
Surveillance data indicated a seasonal peak in West Nile virus cases during late summer months.,0,epidemiology,medium
"Plasmodium vivax belongs to the phylum Apicomplexa, the same group containing Toxoplasma gondii.",0,taxonomy,medium
Human botflies (Dermatobia hominis) burrowed into the skin of cattle and developed as subcutaneous larvae.,1,ectoparasitism,medium
Eastern tent caterpillars (Malacosoma americanum) fed voraciously on the foliage of black cherry trees (Prunus serotina).,1,herbivory,easy
Rabies virus transmitted from infected bats to livestock through bite wounds in rural Latin America.,1,zoonosis,easy
Gray squirrels (Sciurus carolinensis) outcompeted native red squirrels (Sciurus vulgaris) for food and nesting sites in British woodlands.,1,competition,medium
Q fever bacteria (Coxiella burnetii) spread from infected goats to farm workers via inhalation of contaminated dust.,1,zoonosis,medium
Leptospira interrogans transmitted from infected rats to dock workers through contact with contaminated water.,1,zoonosis,medium
The family Culicidae includes more than three thousand described mosquito species worldwide.,0,taxonomy,easy
Coral reefs are home to a wide diversity of fish and invertebrate species.,0,background,easy
"The sample contained DNA traces of both species, but contamination during collection could not be ruled out.",0,borderline,hard
"Lichen-forming fungi associated with green algae, exchanging structural protection for photosynthetic sugars.",1,mutualism,medium
The fox was observed near the rabbit burrow but did not approach further before the study ended.,0,negated,medium
Zebra mussels (Dreissena polymorpha) outcompeted native freshwater mussels for plankton and attachment substrate in the Great Lakes.,1,competition,medium
Mycobacterium tuberculosis infected the lung tissue of patients and formed characteristic granulomas.,1,host-pathogen,medium
"Mycorrhizal fungi (Rhizophagus irregularis) colonized the roots of soybean plants (Glycine max), exchanging phosphorus for plant sugars.",1,mutualism,medium
White-tailed deer (Odocoileus virginianus) browsed heavily on young maple saplings (Acer saccharum) in regenerating forests.,1,herbivory,easy
Dirofilaria immitis heartworms matured in the pulmonary arteries of infected domestic dogs (Canis familiaris).,1,endoparasitism,medium
Avian influenza outbreaks have been reported with increasing frequency in commercial poultry operations since 2015.,0,epidemiology,medium
Toucans (Ramphastos toco) swallowed palm fruits whole and excreted intact seeds far from the parent tree.,1,seed_dispersal,easy
Ivermectin treatment reduced parasite burden in dogs diagnosed with heartworm infection.,0,treatment,medium
African wild dogs (Lycaon pictus) chased down and killed an impala (Aepyceros melampus) during a coordinated hunt.,1,predation,medium
Vaccination campaigns targeted poultry flocks to reduce the spread of avian influenza.,0,treatment,easy
"Citrus greening bacteria (Candidatus Liberibacter) infected orange trees (Citrus sinensis) after transmission by psyllid feeding, stunting fruit development.",1,indirect,hard
The wolf (Canis lupus) is classified within the order Carnivora and family Canidae.,0,taxonomy,easy
Felis catus was domesticated from wildcat ancestors several thousand years ago.,0,taxonomy,medium
"Wuchereria bancrofti filarial worms inhabited the lymphatic vessels of infected humans, causing chronic swelling.",1,endoparasitism,medium
Schistosoma mansoni flukes migrated through the bloodstream of infected humans and laid eggs in the intestinal wall.,1,endoparasitism,medium
Sea lice (Lepeophtheirus salmonis) attached to wild Atlantic salmon (Salmo salar) and grazed on their skin and mucus.,1,ectoparasitism,easy
The relationship between the nematode and the host plant root could not be classified due to ambiguous tissue damage.,0,borderline,hard
White-footed mice (Peromyscus leucopus) served as a primary reservoir host for Borrelia burgdorferi in eastern forests.,1,reservoir,medium
The cattle tick (Rhipicephalus microplus) attached to cattle (Bos taurus) and engorged on their blood for several days.,1,ectoparasitism,easy
"Genetic material from both organisms was detected in the gut content, but the timing of ingestion was uncertain.",0,borderline,hard
No evidence of predation by Cooper's hawks on backyard chickens was recorded during the monitoring period.,0,borderline,medium
Researchers could not confirm whether the observed contact between the wasp and caterpillar resulted in parasitism.,0,borderline,hard
Light traps were used to sample nocturnal insect activity at each survey location.,0,methodology,easy
Sparrows are small passerine birds found in a wide range of habitats across the globe.,0,generic,easy
Snowy owls (Bubo scandiacus) captured and killed lemmings (Lemmus trimucronatus) across Arctic tundra during winter hunts.,1,predation,easy
Whether the recorded vocalization indicated active predation or alarm signaling remained unresolved.,0,borderline,hard
Soil cores were extracted at each site to quantify root biomass and microbial activity.,0,methodology,medium
Fig wasps (Blastophaga psenes) pollinated fig flowers (Ficus carica) while laying eggs inside the developing fruit.,1,mutualism,medium
The Colorado potato beetle (Leptinotarsa decemlineata) stripped the leaves from potato plants (Solanum tuberosum) within days.,1,herbivory,easy
Mosquitoes of the genus Culex transmitted St. Louis encephalitis virus to house sparrows during summer transmission cycles.,1,vector_borne,medium
It could not be determined from the photograph whether the spider had actually captured the moth or was merely resting nearby.,0,borderline,hard
Sharks have existed in the world's oceans for hundreds of millions of years.,0,generic,easy
Oxpeckers (Buphagus africanus) removed ticks from the hides of African buffalo (Syncerus caffer) while feeding.,1,mutualism,easy
Argas reflexus ticks fed nocturnally on the blood of feral pigeons (Columba livia) roosting in urban lofts.,1,ectoparasitism,medium
Phlebotomine sandflies transmitted Leishmania infantum to domestic dogs across Mediterranean rural areas.,1,vector_borne,medium
"Aphid (Aphis fabae) honeydew secretions attracted ants that, in foraging nearby, deterred ladybird predators from the colony.",1,indirect,hard
Giardia lamblia trophozoites attached to the intestinal epithelium of infected beavers (Castor canadensis) and impaired nutrient absorption.,1,endoparasitism,hard
